document_id,record_type,party_type,name,address_1,address_2,country,city,state,zip,good_through_date
2026031500900001,P,1,SMITH JOHN A,400 EAST 90 STREET APT 12A,,US,NEW YORK,NY,10128,2026-04-30T00:00:00.000
2026031500900001,P,2,DEUTSCHE BANK NATIONAL TRUST CO,1761 E ST ANDREW PL,,US,SANTA ANA,CA,92705,2026-04-30T00:00:00.000
2026032000900002,P,1,JONES MARGARET T,400 EAST 90 STREET APT 5B,,US,NEW YORK,NY,10128,2026-04-30T00:00:00.000
2026040100900003,P,1,150 EAST 50 OWNER LLC,150 EAST 50 STREET,,US,NEW YORK,NY,10022,2026-04-30T00:00:00.000
2026040100900003,P,2,WELLS FARGO BANK NA,420 MONTGOMERY ST,,US,SAN FRANCISCO,CA,94104,2026-04-30T00:00:00.000
2026020500900004,P,1,ESTATE OF GLORIA SMITHSON,15 GRAMERCY PARK SOUTH,APT 4A,US,NEW YORK,NY,10003,2026-04-30T00:00:00.000
2026020500900004,P,2,SMITHSON FAMILY HEIRS,123 MAIN ST,,US,GREENWICH,CT,06830,2026-04-30T00:00:00.000
2026031000900005,P,1,200 W 125 STREET HOLDINGS LLC,200 WEST 125 STREET APT 3B,,US,NEW YORK,NY,10027,2026-04-30T00:00:00.000
2026041500900009,P,1,ESTATE OF DAVID FERRIS,150 EAST 50 STREET,,US,NEW YORK,NY,10022,2026-04-30T00:00:00.000
2026042000900010,P,1,MYSTERY OWNER LLC,UNKNOWN,,US,UNKNOWN,NY,99999,2026-04-30T00:00:00.000
