,Attribute Name - Current System,,MatrixFieldName,RLS Description,Resource,Standard Type,Feed
,AboveGradeBedrooms,,AboveGradeBedrooms,IDX Plus field,Custom Property,String,IDX Plus
,AboveGradeFinishedAreaRange,,AboveGradeFinishedAreaRange,IDX Plus field,Custom Property,String,IDX Plus
,AboveGradeFinishedAreaRangeSource,,AboveGradeFinishedAreaRangeSource,IDX Plus field,Custom Property,String List, Single,IDX Plus
,AboveGradeFinishedAreaRangeUnits,,AboveGradeFinishedAreaRangeUnits,IDX Plus field,Custom Property,String List, Single,IDX Plus
,AboveGradeUnfinishedAreaRange,,AboveGradeUnfinishedAreaRange,IDX Plus field,Custom Property,String,IDX Plus
,AboveGradeUnfinishedAreaRangeSource,,AboveGradeUnfinishedAreaRangeSource,IDX Plus field,Custom Property,String List, Single,IDX Plus
,AboveGradeUnfinishedAreaRangeUnits,,AboveGradeUnfinishedAreaRangeUnits,IDX Plus field,Custom Property,String List, Single,IDX Plus
,AdditionalFee,,AdditionalFee,IDX Plus field,Custom Property,Number,IDX Plus
,AdditionalFeeDescription,,AdditionalFeeDescription,IDX Plus field,Custom Property,String,IDX Plus
,AdditionalFeeFrequency,,AdditionalFeeFrequency,IDX Plus field,Custom Property,String List, Single,IDX Plus
,AdditionalFeeYN,,AdditionalFeeYN,IDX Plus field,Custom Property,Boolean,IDX Plus
,AssociationFeeTotal,,AssociationFeeTotal,IDX Plus field,Custom Property,Number,IDX Plus
,AssociationFeeTotalFrequency,,AssociationFeeTotalFrequency,IDX Plus field,Custom Property,String List, Single,IDX Plus
,Attic,,Attic,IDX Plus field,Custom Property,String List, Multi,IDX Plus
,AvailabilityType,,AvailabilityType,IDX Plus field,Custom Property,String List, Multi,IDX Plus
,BelowGradeBedrooms,,BelowGradeBedrooms,IDX Plus field,Custom Property,String,IDX Plus
,BelowGradeFinishedAreaRange,,BelowGradeFinishedAreaRange,IDX Plus field,Custom Property,String,IDX Plus
,BelowGradeFinishedAreaRangeSource,,BelowGradeFinishedAreaRangeSource,IDX Plus field,Custom Property,String List, Single,IDX Plus
,BelowGradeFinishedAreaRangeUnits,,BelowGradeFinishedAreaRangeUnits,IDX Plus field,Custom Property,String List, Single,IDX Plus
,BelowGradeUnfinishedAreaRange,,BelowGradeUnfinishedAreaRange,IDX Plus field,Custom Property,String,IDX Plus
,BelowGradeUnfinishedAreaRangeSource,,BelowGradeUnfinishedAreaRangeSource,IDX Plus field,Custom Property,String List, Single,IDX Plus
,BelowGradeUnfinishedAreaRangeUnits,,BelowGradeUnfinishedAreaRangeUnits,IDX Plus field,Custom Property,String List, Single,IDX Plus
,BoatDockAccommodates,,BoatDockAccommodates,IDX Plus field,Custom Property,String,IDX Plus
,BoatDockHeight,,BoatDockHeight,IDX Plus field,Custom Property,Number,IDX Plus
,BoatDockSlipDescription,,BoatDockSlipDescription,IDX Plus field,Custom Property,String,IDX Plus
,BoatDockSlipFeatures,,BoatDockSlipFeatures,IDX Plus field,Custom Property,String List, Multi,IDX Plus
,BoatDockYN,,BoatDockYN,IDX Plus field,Custom Property,Boolean,IDX Plus
,BoatSlipYN,,BoatSlipYN,IDX Plus field,Custom Property,Boolean,IDX Plus
,BonusAmount,,BonusAmount,IDX Plus field,Custom Property,Number,IDX Plus
,BuildingAreaTotalRange,,BuildingAreaTotalRange,IDX Plus field,Custom Property,String,IDX Plus
,BuildingAreaTotalRangeSource,,BuildingAreaTotalRangeSource,IDX Plus field,Custom Property,String List, Single,IDX Plus
,BuildingAreaTotalRangeUnits,,BuildingAreaTotalRangeUnits,IDX Plus field,Custom Property,String List, Single,IDX Plus
,BuildingSizeDimensions,,BuildingSizeDimensions,IDX Plus field,Custom Property,String,IDX Plus
,ComplexName,,ComplexName,IDX Plus field,Custom Property,String,IDX Plus
,CustomFields,,CustomFields,IDX Plus field,Custom Property,String,IDX Plus
,DevelopmentName,,DevelopmentName,IDX Plus field,Custom Property,String,IDX Plus
,FractionalShare,,FractionalShare,IDX Plus field,Custom Property,String,IDX Plus
,GarageArea,,GarageArea,IDX Plus field,Custom Property,String,IDX Plus
,GarageAreaUnits,,GarageAreaUnits,IDX Plus field,Custom Property,String,IDX Plus
,GarageDimensions,,GarageDimensions,IDX Plus field,Custom Property,String,IDX Plus
,GuestHouseAreaTotal,,GuestHouseAreaTotal,IDX Plus field,Custom Property,Number,IDX Plus
,GuestHouseAreaTotalSource,,GuestHouseAreaTotalSource,IDX Plus field,Custom Property,String List, Single,IDX Plus
,GuestHouseAreaTotalUnits,,GuestHouseAreaTotalUnits,IDX Plus field,Custom Property,String List, Single,IDX Plus
,GuestHouseDescription,,GuestHouseDescription,IDX Plus field,Custom Property,String,IDX Plus
,GuestHouseYN,,GuestHouseYN,IDX Plus field,Custom Property,Boolean,IDX Plus
,HumanModifiedYN,,HumanModifiedYN,IDX Plus field,Custom Property,Boolean,IDX Plus
,InternetEntireListingDisplayYN,,InternetEntireListingDisplayYN,IDX Plus field,Custom Property,Boolean,IDX Plus
,Lang2_Type,,Lang2_Type,IDX Plus field,Custom Property,String,IDX Plus
,Lang3_Type,,Lang3_Type,IDX Plus field,Custom Property,String,IDX Plus
,LastMonthRentReqYN,,LastMonthRentReqYN,IDX Plus field,Custom Property,Boolean,IDX Plus
,LeaseAmountPerArea,,LeaseAmountPerArea,IDX Plus field,Custom Property,Number,IDX Plus
,LeaseAmountPerAreaUnit,,LeaseAmountPerAreaUnit,IDX Plus field,Custom Property,String List, Single,IDX Plus
,LeaseTermsDescription,,LeaseTermsDescription,IDX Plus field,Custom Property,String,IDX Plus
,ListAOR,,ListAOR,IDX Plus field,Custom Property,String List, Single,IDX Plus
,ListingId,,ListingId,IDX Plus field,Custom Property,String,IDX Plus
,ListingKeyNumeric,,ListingKeyNumeric,IDX Plus field,Custom Property,Number,IDX Plus
,ListOfficeKey,,ListOfficeKey,IDX Plus field,Custom Property,String,IDX Plus
,ListOfficeMlsId,,ListOfficeMlsId,IDX Plus field,Custom Property,String,IDX Plus
,LivingAreaRange,,LivingAreaRange,IDX Plus field,Custom Property,String,IDX Plus
,LivingAreaRangeHigh,,LivingAreaRangeHigh,IDX Plus field,Custom Property,Number,IDX Plus
,LivingAreaRangeLow,,LivingAreaRangeLow,IDX Plus field,Custom Property,Number,IDX Plus
,LivingAreaRangeSource,,LivingAreaRangeSource,IDX Plus field,Custom Property,String List, Single,IDX Plus
,LivingAreaRangeUnits,,LivingAreaRangeUnits,IDX Plus field,Custom Property,String List, Single,IDX Plus
